,precision,recall,f1-score,support
akiec,0.5084745762711864,0.9090909090909091,0.6521739130434783,33.0
bcc,0.6984126984126984,0.8627450980392157,0.7719298245614035,51.0
bkl,0.8351648351648352,0.6909090909090909,0.7562189054726368,110.0
df,0.5714285714285714,1.0,0.7272727272727273,12.0
mel,0.5882352941176471,0.6306306306306306,0.6086956521739131,111.0
nv,0.9462875197472354,0.8926974664679582,0.9187116564417178,671.0
vasc,0.8125,0.9285714285714286,0.8666666666666667,14.0
accuracy,0.8423153692614771,0.8423153692614771,0.8423153692614771,0.8423153692614771
macro avg,0.708643356448882,0.8449492319584619,0.7573813350903633,1002.0
weighted avg,0.861029966825075,0.8423153692614771,0.847261062584191,1002.0
