,precision,recall,f1-score,support
akiec,0.6428571428571429,0.8181818181818182,0.72,33.0
bcc,0.5617977528089888,0.9803921568627451,0.7142857142857143,51.0
bkl,0.6666666666666666,0.7454545454545455,0.703862660944206,110.0
df,0.7692307692307693,0.8333333333333334,0.8,12.0
mel,0.6276595744680851,0.5315315315315315,0.5756097560975609,111.0
nv,0.9455128205128205,0.879284649776453,0.9111969111969112,671.0
vasc,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
accuracy,0.8293413173652695,0.8293413173652695,0.8293413173652695,0.8293413173652695
macro avg,0.7112043726996305,0.8166784948159794,0.7519521028491066,1002.0
weighted avg,0.8455541630285908,0.8293413173652695,0.832596017920421,1002.0
