,precision,recall,f1-score,support
akiec,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0
bcc,0.9433962264150944,0.9803921568627451,0.9615384615384616,51.0
bkl,0.9090909090909091,0.8181818181818182,0.861244019138756,110.0
df,1.0,1.0,1.0,12.0
mel,0.7433628318584071,0.7567567567567568,0.75,111.0
nv,0.9540059347181009,0.9582712369597616,0.9561338289962825,671.0
vasc,0.7777777777777778,1.0,0.875,14.0
accuracy,0.9181636726546906,0.9181636726546906,0.9181636726546906,0.9181636726546906
macro avg,0.8779736425774438,0.9045405409918429,0.8888711611221883,1002.0
weighted avg,0.9188157215251374,0.9181636726546906,0.9180050927148006,1002.0
