,precision,recall,f1-score,support
akiec,0.9,0.8181818181818182,0.8571428571428571,33.0
bcc,0.9444444444444444,1.0,0.9714285714285714,51.0
bkl,0.8981481481481481,0.8818181818181818,0.8899082568807339,110.0
df,1.0,1.0,1.0,12.0
mel,0.780952380952381,0.7387387387387387,0.7592592592592593,111.0
nv,0.9555555555555556,0.9612518628912071,0.9583952451708767,671.0
vasc,0.7777777777777778,1.0,0.875,14.0
accuracy,0.9261477045908184,0.9261477045908184,0.9261477045908184,0.9261477045908184
macro avg,0.8938397581254724,0.9142843716614208,0.9015905985546141,1002.0
weighted avg,0.9255642154843753,0.9261477045908184,0.9254785099529822,1002.0
