,precision,recall,f1-score,support
akiec,0.8125,0.7878787878787878,0.8,33.0
bcc,0.9090909090909091,0.9803921568627451,0.9433962264150944,51.0
bkl,0.8877551020408163,0.7909090909090909,0.8365384615384616,110.0
df,1.0,1.0,1.0,12.0
mel,0.7241379310344828,0.7567567567567568,0.7400881057268722,111.0
nv,0.9538002980625931,0.9538002980625931,0.9538002980625931,671.0
vasc,0.7777777777777778,1.0,0.875,14.0
accuracy,0.9111776447105788,0.9111776447105788,0.9111776447105788,0.9111776447105788
macro avg,0.8664374311437971,0.8956767272099962,0.8784032988204317,1002.0
weighted avg,0.9122728511196034,0.9111776447105788,0.9111099980559715,1002.0
