,precision,recall,f1-score,support
akiec,0.7941176470588235,0.8181818181818182,0.8059701492537313,33.0
bcc,0.9230769230769231,0.9411764705882353,0.9320388349514563,51.0
bkl,0.8571428571428571,0.8181818181818182,0.8372093023255814,110.0
df,1.0,1.0,1.0,12.0
mel,0.7008547008547008,0.7387387387387387,0.7192982456140351,111.0
nv,0.9534534534534534,0.9463487332339792,0.949887808526552,671.0
vasc,0.875,1.0,0.9333333333333333,14.0
accuracy,0.906187624750499,0.906187624750499,0.906187624750499,0.906187624750499
macro avg,0.8719493687981082,0.8946610827035127,0.8825339534292415,1002.0
weighted avg,0.9075655277222731,0.906187624750499,0.9066941219709105,1002.0
