,precision,recall,f1-score,support
akiec,0.9130434782608695,0.6363636363636364,0.75,33.0
bcc,1.0,0.6274509803921569,0.7710843373493976,51.0
bkl,0.8557692307692307,0.8090909090909091,0.8317757009345794,110.0
df,1.0,0.5833333333333334,0.7368421052631579,12.0
mel,0.8289473684210527,0.5675675675675675,0.6737967914438503,111.0
nv,0.8785046728971962,0.9806259314456036,0.9267605633802817,671.0
vasc,1.0,0.7857142857142857,0.88,14.0
accuracy,0.8792415169660679,0.8792415169660679,0.8792415169660679,0.8792415169660679
macro avg,0.9251806786211928,0.7128780919867846,0.795751356910181,1002.0
weighted avg,0.880992857860259,0.8792415169660679,0.8716372409672828,1002.0
