image_id,label
ISIC_0026337,1
ISIC_0028005,5
ISIC_0029667,5
ISIC_0033915,5
ISIC_0033015,5
ISIC_0033656,5
ISIC_0026676,5
ISIC_0031770,2
ISIC_0027349,5
ISIC_0032203,0
ISIC_0029427,2
ISIC_0027642,5
ISIC_0031319,5
ISIC_0031018,5
ISIC_0032383,5
ISIC_0029837,2
ISIC_0026163,6
ISIC_0033788,5
ISIC_0027981,5
ISIC_0026507,5
ISIC_0027368,5
ISIC_0031515,5
ISIC_0033041,2
ISIC_0032919,6
ISIC_0029982,5
ISIC_0028764,4
ISIC_0033507,2
ISIC_0030718,5
ISIC_0033258,4
ISIC_0030961,5
ISIC_0032051,2
ISIC_0032594,5
ISIC_0030487,0
ISIC_0032895,5
ISIC_0024831,5
ISIC_0025019,1
ISIC_0030242,0
ISIC_0024873,5
ISIC_0034079,5
ISIC_0026348,5
ISIC_0031127,5
ISIC_0028813,5
ISIC_0034209,5
ISIC_0028883,5
ISIC_0034025,5
ISIC_0024544,5
ISIC_0030951,4
ISIC_0029959,5
ISIC_0031548,5
ISIC_0031931,4
ISIC_0031973,5
ISIC_0033018,5
ISIC_0032259,5
ISIC_0029209,4
ISIC_0034033,5
ISIC_0026336,6
ISIC_0033861,5
ISIC_0029177,3
ISIC_0032973,5
ISIC_0027461,5
ISIC_0027177,5
ISIC_0027355,2
ISIC_0027123,5
ISIC_0033971,5
ISIC_0031431,0
ISIC_0028338,5
ISIC_0030469,5
ISIC_0033828,2
ISIC_0034091,5
ISIC_0026713,6
ISIC_0025603,4
ISIC_0030911,5
ISIC_0027332,2
ISIC_0026992,0
ISIC_0027203,5
ISIC_0032271,2
ISIC_0026920,5
ISIC_0026313,3
ISIC_0029568,2
ISIC_0028242,5
ISIC_0024429,5
ISIC_0027902,5
ISIC_0032779,5
ISIC_0030177,1
ISIC_0033829,2
ISIC_0031340,5
ISIC_0028359,5
ISIC_0026371,5
ISIC_0031969,5
ISIC_0032773,2
ISIC_0028054,5
ISIC_0031028,5
ISIC_0033076,5
ISIC_0030894,5
ISIC_0031633,2
ISIC_0029397,4
ISIC_0027711,5
ISIC_0024382,2
ISIC_0029616,5
ISIC_0026563,5
ISIC_0031573,5
ISIC_0032586,4
ISIC_0031591,2
ISIC_0033693,2
ISIC_0026574,1
ISIC_0025055,5
ISIC_0026166,5
ISIC_0025262,5
ISIC_0030560,5
ISIC_0024866,5
ISIC_0032035,5
ISIC_0026097,5
ISIC_0026843,2
ISIC_0033554,3
ISIC_0034003,2
ISIC_0034291,2
ISIC_0027218,2
ISIC_0027636,5
ISIC_0028205,5
ISIC_0024328,5
ISIC_0031773,5
ISIC_0033595,4
ISIC_0028667,5
ISIC_0025672,5
ISIC_0029757,5
ISIC_0029857,1
ISIC_0027616,4
ISIC_0024947,2
ISIC_0032576,2
ISIC_0031227,5
ISIC_0025606,6
ISIC_0034069,5
ISIC_0024459,4
ISIC_0026003,5
ISIC_0024430,5
ISIC_0030847,5
ISIC_0031780,5
ISIC_0027124,5
ISIC_0034173,4
ISIC_0030280,0
ISIC_0031622,5
ISIC_0027833,5
ISIC_0031934,5
ISIC_0033812,4
ISIC_0027122,5
ISIC_0033163,5
ISIC_0029792,5
ISIC_0033172,5
ISIC_0024878,5
ISIC_0030673,5
ISIC_0033978,5
ISIC_0033032,5
ISIC_0033087,5
ISIC_0028409,5
ISIC_0032209,5
ISIC_0025438,5
ISIC_0034183,4
ISIC_0025700,1
ISIC_0024672,2
ISIC_0031360,5
ISIC_0027026,2
ISIC_0030027,5
ISIC_0027282,4
ISIC_0026524,2
ISIC_0031892,5
ISIC_0034269,4
ISIC_0026490,6
ISIC_0026896,5
ISIC_0029447,5
ISIC_0030497,5
ISIC_0028341,5
ISIC_0027503,5
ISIC_0025267,5
ISIC_0032267,5
ISIC_0024738,5
ISIC_0031702,2
ISIC_0028461,5
ISIC_0025963,4
ISIC_0028109,4
ISIC_0025754,5
ISIC_0024574,5
ISIC_0025457,5
ISIC_0034272,5
ISIC_0032253,5
ISIC_0032890,6
ISIC_0027977,5
ISIC_0030145,1
ISIC_0029715,0
ISIC_0024667,5
ISIC_0030584,5
ISIC_0030881,5
ISIC_0033493,5
ISIC_0025662,5
ISIC_0029306,5
ISIC_0028112,5
ISIC_0024465,5
ISIC_0034134,4
ISIC_0027524,5
ISIC_0029013,4
ISIC_0028370,0
ISIC_0033306,2
ISIC_0027083,2
ISIC_0034210,5
ISIC_0027630,5
ISIC_0026734,5
ISIC_0031102,5
ISIC_0033808,3
ISIC_0029764,2
ISIC_0028730,0
ISIC_0025999,5
ISIC_0030325,5
ISIC_0026923,2
ISIC_0029633,5
ISIC_0026364,5
ISIC_0032719,2
ISIC_0027809,5
ISIC_0031875,5
ISIC_0026955,2
ISIC_0034312,5
ISIC_0025686,5
ISIC_0031123,3
ISIC_0030156,5
ISIC_0031425,5
ISIC_0025428,5
ISIC_0024700,4
ISIC_0030178,5
ISIC_0027948,5
ISIC_0024991,5
ISIC_0027895,5
ISIC_0025391,4
ISIC_0029275,5
ISIC_0025223,3
ISIC_0032151,5
ISIC_0030158,0
ISIC_0031726,5
ISIC_0026820,5
ISIC_0029040,2
ISIC_0029772,5
ISIC_0032056,5
ISIC_0032817,5
ISIC_0028412,4
ISIC_0028486,1
ISIC_0031076,5
ISIC_0032219,4
ISIC_0032818,5
ISIC_0030977,5
ISIC_0030214,5
ISIC_0024978,5
ISIC_0026435,5
ISIC_0028753,5
ISIC_0026863,5
ISIC_0025613,5
ISIC_0026416,2
ISIC_0030762,5
ISIC_0029964,5
ISIC_0026847,4
ISIC_0033384,5
ISIC_0026342,5
ISIC_0025589,4
ISIC_0031999,4
ISIC_0027514,5
ISIC_0033455,5
ISIC_0030484,5
ISIC_0028303,1
ISIC_0030852,5
ISIC_0033023,4
ISIC_0027679,5
ISIC_0026006,5
ISIC_0031267,5
ISIC_0033919,5
ISIC_0031078,2
ISIC_0032247,3
ISIC_0028202,5
ISIC_0031020,5
ISIC_0032962,5
ISIC_0030160,2
ISIC_0024419,5
ISIC_0032786,5
ISIC_0030094,1
ISIC_0025747,5
ISIC_0029627,2
ISIC_0026222,5
ISIC_0027054,5
ISIC_0026063,5
ISIC_0031648,6
ISIC_0025667,5
ISIC_0024397,5
ISIC_0029344,5
ISIC_0033942,4
ISIC_0034051,4
ISIC_0031307,5
ISIC_0032979,5
ISIC_0030554,5
ISIC_0031686,2
ISIC_0032476,4
ISIC_0030261,1
ISIC_0026102,5
ISIC_0030652,5
ISIC_0025376,2
ISIC_0033111,5
ISIC_0031376,2
ISIC_0032065,5
ISIC_0031860,5
ISIC_0026040,0
ISIC_0031359,5
ISIC_0030477,5
ISIC_0031225,1
ISIC_0030209,5
ISIC_0027818,5
ISIC_0032308,4
ISIC_0031649,5
ISIC_0033482,2
ISIC_0027601,1
ISIC_0029682,2
ISIC_0024943,2
ISIC_0027490,5
ISIC_0026193,5
ISIC_0030298,5
ISIC_0032207,4
ISIC_0034314,5
ISIC_0026326,5
ISIC_0032288,5
ISIC_0032173,0
ISIC_0030586,0
ISIC_0026817,5
ISIC_0024460,5
ISIC_0026147,5
ISIC_0027210,6
ISIC_0034190,5
ISIC_0032669,5
ISIC_0028258,2
ISIC_0027241,5
ISIC_0025171,5
ISIC_0028006,5
ISIC_0028589,5
ISIC_0027089,4
ISIC_0027512,5
ISIC_0029883,5
ISIC_0032923,5
ISIC_0031413,1
ISIC_0032252,5
ISIC_0031650,2
ISIC_0032778,2
ISIC_0031810,5
ISIC_0027640,5
ISIC_0027717,5
ISIC_0026969,5
ISIC_0031536,5
ISIC_0030072,5
ISIC_0029303,5
ISIC_0024975,5
ISIC_0030039,5
ISIC_0029934,5
ISIC_0026437,5
ISIC_0031596,5
ISIC_0027379,5
ISIC_0032081,4
ISIC_0033687,4
ISIC_0033866,0
ISIC_0034157,5
ISIC_0027062,5
ISIC_0025633,5
ISIC_0030715,5
ISIC_0028830,2
ISIC_0032863,2
ISIC_0031594,5
ISIC_0027621,5
ISIC_0027367,2
ISIC_0024793,5
ISIC_0027720,5
ISIC_0025430,5
ISIC_0029188,5
ISIC_0030822,2
ISIC_0027714,5
ISIC_0031136,5
ISIC_0032642,3
ISIC_0024639,5
ISIC_0024373,5
ISIC_0030130,2
ISIC_0026931,5
ISIC_0030642,5
ISIC_0024727,5
ISIC_0032012,5
ISIC_0026686,5
ISIC_0034135,3
ISIC_0030922,5
ISIC_0029241,4
ISIC_0027175,1
ISIC_0029136,5
ISIC_0032987,4
ISIC_0025724,4
ISIC_0026354,5
ISIC_0028463,4
ISIC_0030264,5
ISIC_0026331,5
ISIC_0029639,5
ISIC_0027784,5
ISIC_0026598,5
ISIC_0032184,5
ISIC_0031540,5
ISIC_0031316,5
ISIC_0032384,1
ISIC_0028919,5
ISIC_0032192,4
ISIC_0025463,5
ISIC_0034316,4
ISIC_0028232,0
ISIC_0024444,5
ISIC_0028746,4
ISIC_0026663,2
ISIC_0033801,4
ISIC_0029995,4
ISIC_0025228,5
ISIC_0031468,2
ISIC_0032410,3
ISIC_0030146,5
ISIC_0025350,0
ISIC_0031194,5
ISIC_0029338,5
ISIC_0027486,5
ISIC_0027135,1
ISIC_0031531,1
ISIC_0027813,5
ISIC_0032653,4
ISIC_0030359,5
ISIC_0027202,2
ISIC_0031248,5
ISIC_0025083,2
ISIC_0032740,2
ISIC_0026696,5
ISIC_0032827,2
ISIC_0024354,5
ISIC_0028069,4
ISIC_0028170,5
ISIC_0032444,5
ISIC_0028867,5
ISIC_0029120,5
ISIC_0029002,0
ISIC_0025898,5
ISIC_0033107,5
ISIC_0031924,5
ISIC_0034229,5
ISIC_0030830,3
ISIC_0031782,5
ISIC_0029980,5
ISIC_0025784,5
ISIC_0025414,4
ISIC_0026526,2
ISIC_0025955,4
ISIC_0033333,4
ISIC_0030950,4
ISIC_0033938,4
ISIC_0024628,5
ISIC_0034192,5
ISIC_0032769,5
ISIC_0027609,1
ISIC_0024607,5
ISIC_0025056,5
ISIC_0024798,5
ISIC_0029358,2
ISIC_0032197,4
ISIC_0027417,5
ISIC_0032796,5
ISIC_0029886,5
ISIC_0032797,4
ISIC_0029777,5
ISIC_0032998,5
ISIC_0027572,5
ISIC_0031597,1
ISIC_0027685,5
ISIC_0033524,4
ISIC_0034138,5
ISIC_0033085,5
ISIC_0028260,5
ISIC_0031769,5
ISIC_0025062,5
ISIC_0028836,5
ISIC_0026128,5
ISIC_0034130,5
ISIC_0033399,4
ISIC_0026367,5
ISIC_0029782,5
ISIC_0025602,5
ISIC_0033270,2
ISIC_0024324,2
ISIC_0032430,4
ISIC_0031175,1
ISIC_0032374,5
ISIC_0028689,5
ISIC_0025452,6
ISIC_0030031,4
ISIC_0024992,5
ISIC_0032057,6
ISIC_0033941,5
ISIC_0031912,5
ISIC_0033768,5
ISIC_0024963,5
ISIC_0030387,0
ISIC_0024504,1
ISIC_0033752,4
ISIC_0034176,5
ISIC_0026430,4
ISIC_0030127,5
ISIC_0030495,5
ISIC_0026627,5
ISIC_0026431,5
ISIC_0032682,5
ISIC_0030083,4
ISIC_0027856,6
ISIC_0032399,5
ISIC_0025411,0
ISIC_0028455,5
ISIC_0032119,5
ISIC_0034012,4
ISIC_0032407,5
ISIC_0024486,5
ISIC_0029034,1
ISIC_0030096,1
ISIC_0027410,5
ISIC_0024953,5
ISIC_0033806,4
ISIC_0031216,5
ISIC_0032196,5
ISIC_0033869,0
ISIC_0026011,5
ISIC_0026413,5
ISIC_0033328,5
ISIC_0027740,5
ISIC_0027757,5
ISIC_0030084,5
ISIC_0024768,5
ISIC_0029168,5
ISIC_0028129,5
ISIC_0033434,5
ISIC_0027716,5
ISIC_0032853,5
ISIC_0028628,2
ISIC_0031507,5
ISIC_0026046,2
ISIC_0027975,5
ISIC_0026379,5
ISIC_0031173,5
ISIC_0024671,5
ISIC_0026597,5
ISIC_0030701,5
ISIC_0030251,5
ISIC_0025568,5
ISIC_0031356,5
ISIC_0033177,5
ISIC_0028426,5
ISIC_0032898,2
ISIC_0030998,2
ISIC_0031866,5
ISIC_0024739,4
ISIC_0025048,5
ISIC_0031459,2
ISIC_0031473,5
ISIC_0029608,6
ISIC_0028666,4
ISIC_0027048,5
ISIC_0030012,5
ISIC_0028660,5
ISIC_0026463,5
